Item Code,UPC ID,Item Name,Grammage,MRP,Batch,Zone Identifier,Location,Entity Vendor,Quantity
10000000,42204084,Nivea Soft Light Moisturizer,200 ml,229,,,,,
10000005,4005808532988,Nivea Men Oil Control Face Wash 100 g(Pack),100 g,249,,,,,
10000006,4005900294456,Nivea Men Fresh Active Men's Roll On,50 ml,215,,,,,
10000007,8904256000109,Nivea Cocoa Nourish Body Lotion,400 ml,550,,,,,
10000009,4987176244987,"Vicks VapoRub Chest rubs & balms (Relieve Cold, Cough & Blocked Nose)",50 ml,199,,,,,
10000011,8000500009673,Ferrero Rocher Chocolate Gift Pack (24 pieces)(Pack),300 g,950,,,,,
10000014,8901014004836,Nissin Veggi Manchow Cup Noodles(Cup),70 g,40,,,,,
10000014,8901014004836,Nissin Veggi Manchow Cup Noodles(Cup),70 g,50,,,,,
10000016,8901023010002,Hit Anti Roach Cockroach Gel,20 g,325,,,,,
10000016,8901023010002,Hit Anti Roach Cockroach Gel,20 g,300,,,,,
10000016,8901023010002,Hit Anti Roach Cockroach Gel,20 g,199,,,,,
10000021,8901042954745,MTR Rasam Masala(Pouch),100 g,95,,,,,
10000023,8901042954790,MTR Puliogare Masala,100 g,70,,,,,
10000036,8901042959269,MTR Masala Rava Idli Breakfast Mix(Pouch),500 g,150,,,,,
10000036,8901042959269,MTR Masala Rava Idli Breakfast Mix(Pouch),500 g,140,,,,,
10000048,8901042967325,MTR 3 Minute Poha Breakfast Mix,60 g,25,,,,,
10000048,8901042967325,MTR 3 Minute Poha Breakfast Mix,60 g,30,,,,,
10000048,8901042967325,MTR 3 Minute Poha Breakfast Mix,60 g,27,,,,,
10000049,8901042954721,MTR Sambhar Powder,100 g,86,,,,,
10000059,8901088000772,Saffola Total Pro Heart Conscious Edible Oil(Jar),5 l,1175,,,,,
10000064,8901138500467,Himalaya Natural Glow Fairness Skin Treatment Cream 50 g(Pack),50 g,100,,,,,
10000068,8901138509231,Himalaya Lip Balm,10 g,40,,,,,
10000075,8901157025033,Hit Spray Flies & Mosquito Repellent Spray(Spray),200 ml,115,,,,,
10000075,8901157025033,Hit Spray Flies & Mosquito Repellent Spray(Spray),200 ml,110,,,,,
10000075,8901157025033,Hit Spray Flies & Mosquito Repellent Spray(Spray),200 ml,120,,,,,
10000075,8901157025033,Hit Spray Flies & Mosquito Repellent Spray(Spray),200 ml,99,,,,,
10000076,7622201762476,Cadbury Dairy Milk Minis Home Treats Milk Chocolate Pack,119 g,149,,,,,
10000076,7622202220968,Cadbury Dairy Milk Minis Home Treats Milk Chocolate Pack,91 g,120,,,,,
10000084,8901314309914,Colgate MaxFresh Spicy Fresh Gel Toothpaste,150 g,136,,,,,
10000084,8901314860484,Colgate MaxFresh Spicy Fresh Gel Toothpaste,150 g,140,,,,,
10000084,8901314860484,Colgate MaxFresh Spicy Fresh Gel Toothpaste,150 g,136,,,,,
10000087,8901491103282,Cheetos Cheez Puffs(Packet),28 g,10,,,,,
10000110,8901786120505,Everest Kitchen King Masala,50 g,47,,,,,
10000112,8901786550500,Everest Compounded Hing Powder (Hingraj),50 g,143,,,,,
10000114,8901808000051,Weikfield Corn Flour (Starch),500 g,90,,,,,
10000121,8904004401530,Haldiram's Nagpur Fatafat Bhelpuri,100 g,45,,,,,
10000121,8904004401530,Haldiram's Nagpur Fatafat Bhelpuri,65 g,45,,,,,
10000144,8904117900326,Pro Nature Organic Groundnut Oil(Bottle),1 l,489,,,,,
10000185,8901764311253,Sprite Zero Soft Drink(Can),300 ml,40,,,,,
10000186,89009710,Maggi Hot & Sweet Tomato Chilli Sauce 200 g(Bottle),200 g,75,,,,,
10000186,89009710,Maggi Hot & Sweet Tomato Chilli Sauce 200 g(Bottle),200 g,77,,,,,
10000186,89080443,Maggi Hot & Sweet Tomato Chilli Sauce 200 g(Bottle),200 g,77,,,,,
10000187,8901207040801,Dabur Gulabari Premium Rose Water Paraben Free Skin Toner - 250 ml(Pack),250 ml,92,,,,,
10000192,690225101103,India Gate Super Basmati Rice (1 kg + 500 g),1 kg,280,,,,,
10000193,690225101172,India Gate Classic Basmati Rice,1 kg,250,,,,,
10000195,690225103626,India Gate Feast Rozana Basmati Rice,1 kg,118,,,,,
10000196,690225106092,India Gate Mogra Basmati Rice (Broken),5 kg,460,,,,,
10000196,690225106092,India Gate Mogra Basmati Rice (Broken),5 kg,440,,,,,
10000196,690225106092,India Gate Mogra Basmati Rice (Broken),5.0 KG,460,,,,,
10000204,4987176278647,Gillette Regular Shaving Foam,418 g,275,,,,,
10000213,4987176258144,Gillette Presto Readyshaver Sata Sat Men's Razor,5 pieces,100,,,,,
10000216,4987176309761,Tide Detergent Bar,80 g + 80 g,10,,,,,
10000216,4987176248800,Tide Detergent Bar,80 g + 80 g,10,,,,,
10000217,4987176073112,"Head & Shoulders Anti Hairfall, Anti Dandruff Shampoo 340 ml",340 ml,410,,,,,
10000217,4987176073112,"Head & Shoulders Anti Hairfall, Anti Dandruff Shampoo 340 ml",340 ml,420,,,,,
10000219,5000159562768,Mars Nougat and Caramel Filled Bar,51 g,70,,,,,
10000226,8901012131053,Listerine Fresh Burst Mouthwash,250 ml,210,,,,,
10000227,8901012133057,Listerine Cool Mint Mouthwash (250 ml),250 ml,185,,,,,
10000227,8901012133057,Listerine Cool Mint Mouthwash (250 ml),250 ml,175,,,,,
10000228,8901012136027,Listerine Cavity Fighter Mouthwash,250 ml,200,,,,,
10000228,8901012136027,Listerine Cavity Fighter Mouthwash,250 ml,230,,,,,
10000228,8901012136027,Listerine Cavity Fighter Mouthwash,250 ml,210,,,,,
10000229,8901012155080,Johnson's Cotton Earbuds,1 pack (75 pieces),140,,,,,
10000229,8901012155080,Johnson's Cotton Earbuds,1 pack (75 pieces),155,,,,,
10000229,8901012155080,Johnson's Cotton Earbuds,1 pack (75 pieces),165,,,,,
10000234,8901012189511,Clean & Clear Foaming Face Wash 150 ml(Pack),150 ml,250,,,,,
10000234,8901012189511,Clean & Clear Foaming Face Wash 150 ml(Pack),150 ml,235,,,,,
10000235,8901023005824,Godrej Ezee Woollen Liquid Detergent For Winterwear(Bottle),1 kg,225,,,,,
10000235,8901023005824,Godrej Ezee Woollen Liquid Detergent For Winterwear,1 kg,210,,,,,
10000235,8901023005824,Godrej Ezee Woollen Liquid Detergent For Winterwear(Bottle),1 kg,220,,,,,
10000236,8901023011276,Good Knight Mosquito Fast Card,10 units,10,,,,,
10000238,8901030989254,Lakme Nail Paint Remover(Bottle),27 ml,99,,,,,
10000238,8901030989254,Lakme Nail Paint Remover(Bottle),27 ml,105,,,,,
10000241,8901030624230,Brooke Bond Taj Mahal Tea Bags(Carton),100 units,220,,,,,
10000241,8901030624230,Brooke Bond Taj Mahal Tea Bags(Carton),100 units,210,,,,,
10000242,8901030862090,Pepsodent 2 In 1 Toothpaste,150 g,103,,,,,
10000242,8909106031128,Pepsodent 2 In 1 Toothpaste,150 GM,129,,,,,
10000242,8901030999680,Pepsodent 2 In 1 Toothpaste,150 g,120,,,,,
10000242,8901030999680,Pepsodent 2 In 1 Toothpaste,150 g,110,,,,,
10000251,8901030962783,Vim Lemon Dishwash Gel (500 ml)(Bottle),500 ml,125,,,,,
10000251,8909106018006,Vim Lemon Dishwash Gel (500 ml)(Bottle),500.0 ML,125,,,,,
10000255,8901030761195,Rin Ala Fabric Whitener,500 ml,89,,,,,
10000269,8901030831690,Kissan Mixed Fruit Jam (200 g),200 g,80,,,,,
10000269,8901030831690,Kissan Mixed Fruit Jam (200 g),200 g,85,,,,,
10000270,8901030831706,Kissan Mixed Fruit Jam,500 g,200,,,,,
10000270,8901030831706,Kissan Mixed Fruit Jam,500 g,190,,,,,
10000273,8901030523885,Surf Excel Top Load Detergent Powder(Pouch),2 kg,540,,,,,
10000279,8901042954516,MTR Rava Idli Breakfast Mix,500 g,140,,,,,
10000279,8901042954516,MTR Rava Idli Breakfast Mix,500 g,150,,,,,
10000281,8901042954608,MTR Rice Idli Breakfast Mix,500 g,145,,,,,
10000281,8901042954608,MTR Rice Idli Breakfast Mix,500 g,155,,,,,
10000282,8901042954776,MTR Idli/Dosa - Chilli Chutney Powder,200 g,155,,,,,
10000286,8901042957517,MTR Dal Makhani Ready to Eat,300 g,125,,,,,
10000287,8901042957968,MTR Dosa Breakfast Mix,500 g,145,,,,,
10000287,8901042957968,MTR Dosa Breakfast Mix,500 g,155,,,,,
10000289,8901042970035,MTR (Seviyan) Regular Vermicelli,850 g,87,,,,,
